Marca,Cor,Vendedor,Produto,Tags,Preço Original,Preço Pix,Preço Parcelado,Quantidade de Parcelas
Santa Lolla,Off-white,Dafiti,Tênis Santa Lolla Recorte Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 229,90","R$ 169,99","R$ 180,84",3x
VIA UNO,Preto,Dafiti,Scarpin Feminino VIA UNO Salto Alto Tira...,"Calçados,Calçados Femininos,Scarpin","R$ 159,99","R$ 139,99","R$ 148,93",2x
VIA UNO,Marrom,Dafiti,Sandália VIA UNO Média Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 89,99","R$ 95,73",1x
Beira Rio,Marrom,Dafiti,Rasteira Fechada Feminino Beira Rio Apli...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 109,99","R$ 79,99","R$ 85,10",1x
adidas Originals,Off-white,Dafiti,Tênis adidas Originals Samba OG Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 799,99","R$ 751,98","R$ 799,98",10x
Vizzano,Caramelo,Dafiti,Sapatilha Vizzano Bico Fino Caramelo,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 99,90","R$ 79,99","R$ 85,10",1x
Bottero,Preto,Dafiti,Bota Bottero Cano Alto Salto Grosso Preta,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 429,99","R$ 369,99","R$ 393,61",6x
Bebecê,Preto,Dafiti,Sandália Feminina Bebecê Salto Bloco Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 109,99","R$ 89,99","R$ 95,73",1x
Moleca,Off-white,Dafiti,Rasteira Feminina Moleca Fechada Off-White,"Calçados,Calçados Femininos,Rasteirinhas","R$ 109,90","R$ 69,99","R$ 74,46",1x
VIA UNO,Caramelo,Dafiti,Tamanco Via Uno Lisa Caramelo,"Calçados,Calçados Femininos,Tamanco","R$ 119,99","R$ 89,99","R$ 95,73",1x
